league,season,game,game_id,period,minute,second,expanded_minute,type,outcome_type,team_id,team,player_id,player,x,y,end_x,end_y,goal_mouth_y,goal_mouth_z,blocked_x,blocked_y,is_touch,is_shot,is_goal,card_type,related_event_id,related_player_id
ENG-Premier League,2425,2025-01-25 Bournemouth-Nottingham Forest,1821389,FirstHalf,0,0.0,0,Start,Successful,174,Nottingham Forest,,,0.0,0.0,,,,,,,False,,,,,
ENG-Premier League,2425,2025-01-25 Bournemouth-Nottingham Forest,1821389,FirstHalf,0,0.0,0,Start,Successful,183,Bournemouth,,,0.0,0.0,,,,,,,False,,,,,
ENG-Premier League,2425,2025-01-25 Bournemouth-Nottingham Forest,1821389,FirstHalf,0,0.0,0,Pass,Successful,174,Nottingham Forest,342830.0,Ryan Yates,50.0,50.0,22.7,56.9,,,,,True,,,,,
ENG-Premier League,2425,2025-01-25 Bournemouth-Nottingham Forest,1821389,FirstHalf,0,5.0,0,Pass,Successful,174,Nottingham Forest,78386.0,Matz Sels,24.9,56.7,70.2,86.8,,,,,True,,,,,
ENG-Premier League,2425,2025-01-25 Bournemouth-Nottingham Forest,1821389,FirstHalf,0,9.0,0,Pass,Successful,174,Nottingham Forest,73380.0,Chris Wood,69.5,86.7,79.5,75.8,,,,,True,,,,,
ENG-Premier League,2425,2025-01-25 Bournemouth-Nottingham Forest,1821389,FirstHalf,0,11.0,0,Challenge,Unsuccessful,183,Bournemouth,136456.0,Lewis Cook,13.6,30.2,,,,,,,False,,,,,
ENG-Premier League,2425,2025-01-25 Bournemouth-Nottingham Forest,1821389,FirstHalf,0,11.0,0,TakeOn,Successful,174,Nottingham Forest,413211.0,Anthony Elanga,86.4,69.8,,,,,,,True,,,,,
ENG-Premier League,2425,2025-01-25 Bournemouth-Nottingham Forest,1821389,FirstHalf,0,12.0,0,MissedShots,Successful,174,Nottingham Forest,413211.0,Anthony Elanga,92.3,70.1,,,57.0,19.4,,,True,True,,,6.0,73380.0
ENG-Premier League,2425,2025-01-25 Bournemouth-Nottingham Forest,1821389,FirstHalf,0,24.0,0,Pass,Successful,183,Bournemouth,113880.0,Kepa,3.4,50.3,12.4,68.3,,,,,True,,,,,
ENG-Premier League,2425,2025-01-25 Bournemouth-Nottingham Forest,1821389,FirstHalf,0,35.0,0,Pass,Successful,183,Bournemouth,468852.0,Dean Huijsen,43.4,70.0,81.0,9.4,,,,,True,,,,,
ENG-Premier League,2425,2025-01-25 Bournemouth-Nottingham Forest,1821389,FirstHalf,0,40.0,0,Pass,Unsuccessful,183,Bournemouth,136456.0,Lewis Cook,81.8,13.9,91.5,84.0,,,,,True,,,,,
ENG-Premier League,2425,2025-01-25 Bournemouth-Nottingham Forest,1821389,FirstHalf,0,44.0,0,Foul,Successful,174,Nottingham Forest,444826.0,Jota Silva,9.9,16.4,,,,,,,True,,,,,
ENG-Premier League,2425,2025-01-25 Bournemouth-Nottingham Forest,1821389,FirstHalf,0,44.0,0,Foul,Unsuccessful,183,Bournemouth,424273.0,Milos Kerkez,90.1,83.6,,,,,,,False,,,,,
